Time	Ampl		
-0.026506136	2		
-0.026505136	1.96		
-0.026504136	1.98		
-0.026503136	2.06		
-0.026502136	1.96		
-0.026501136	1.98		
-0.026500136	2.02		
-0.026499136	2		
-0.026498136	2		
-0.026497136	2.08		
-0.026496136	1.96		
-0.026495136	2.02		
-0.026494136	2		
-0.026493136	2		
-0.026492136	2.02		
-0.026491136	1.96		
-0.026490136	2.04		
-0.026489136	2		
-0.026488136	2.04		
-0.026487136	1.96		
-0.026486136	2.04		
-0.026485136	1.94		
-0.026484136	1.96		
-0.026483136	1.96		
-0.026482136	2.04		
-0.026481136	1.96		
-0.026480136	2.02		
-0.026479136	2.04		
-0.026478136	2.04		
-0.026477136	1.96		
-0.026476136	1.96		
-0.026475136	2.04		
-0.026474136	1.98		
-0.026473136	1.96		
-0.026472136	1.92		
-0.026471136	2.02		
-0.026470136	1.96		
-0.026469136	2.04		
-0.026468136	1.98		
-0.026467136	1.9		
-0.026466136	1.96		
-0.026465136	2		
-0.026464136	2.02		
-0.026463136	2		
-0.026462136	2.04		
-0.026461136	1.96		
-0.026460136	2		
-0.026459136	2		
-0.026458136	2		
-0.026457136	2		
-0.026456136	2.02		
-0.026455136	1.96		
-0.026454136	1.94		
-0.026453136	1.96		
-0.026452136	1.98		
-0.026451136	1.98		
-0.026450136	1.96		
-0.026449136	1.98		
-0.026448136	2.06		
-0.026447136	1.96		
-0.026446136	1.94		
-0.026445136	1.9		
-0.026444136	2.06		
-0.026443136	2		
-0.026442136	2.02		
-0.026441136	2		
-0.026440136	1.98		
-0.026439136	1.96		
-0.026438136	2.06		
-0.026437136	1.96		
-0.026436136	2.02		
-0.026435136	1.94		
-0.026434136	2		
-0.026433136	2		
-0.026432136	2		
-0.026431136	2.04		
-0.026430136	2.04		
-0.026429136	2		
-0.026428136	1.94		
-0.026427136	2		
-0.026426136	1.96		
-0.026425136	2		
-0.026424136	1.98		
-0.026423136	2		
-0.026422136	1.98		
-0.026421136	1.94		
-0.026420136	1.96		
-0.026419136	1.98		
-0.026418136	1.98		
-0.026417136	2		
-0.026416136	1.96		
-0.026415136	1.92		
-0.026414136	1.94		
-0.026413136	1.94		
-0.026412136	1.98		
-0.026411136	2		
-0.026410136	2.02		
-0.026409136	1.92		
-0.026408136	2.02		
-0.026407136	1.94		
-0.026406136	1.98		
-0.026405136	1.98		
-0.026404136	2		
-0.026403136	1.98		
-0.026402136	1.98		
-0.026401136	2.08		
-0.026400136	1.98		
-0.026399136	1.88		
-0.026398136	1.92		
-0.026397136	2.02		
-0.026396136	1.96		
-0.026395136	1.98		
-0.026394136	1.96		
-0.026393136	1.98		
-0.026392136	2		
-0.026391136	1.96		
-0.026390136	2		
-0.026389136	1.88		
-0.026388136	1.96		
-0.026387136	1.98		
-0.026386136	2		
-0.026385136	1.98		
-0.026384136	2.02		
-0.026383136	2.02		
-0.026382136	1.96		
-0.026381136	2		
-0.026380136	1.98		
-0.026379136	2		
-0.026378136	1.98		
-0.026377136	1.96		
-0.026376136	2.06		
-0.026375136	1.96		
-0.026374136	1.92		
-0.026373136	2.02		
-0.026372136	2		
-0.026371136	1.96		
-0.026370136	2		
-0.026369136	2		
-0.026368136	1.96		
-0.026367136	2.02		
-0.026366136	1.98		
-0.026365136	2.04		
-0.026364136	2		
-0.026363136	1.98		
-0.026362136	2.02		
-0.026361136	1.96		
-0.026360136	1.94		
-0.026359136	2		
-0.026358136	1.96		
-0.026357136	1.96		
-0.026356136	2.04		
-0.026355136	1.98		
-0.026354136	2.02		
-0.026353136	1.96		
-0.026352136	8.54		
-0.026351136	8.34		
-0.026350136	8.36		
-0.026349136	8.36		
-0.026348136	8.32		
-0.026347136	8.26		
-0.026346136	8.28		
-0.026345136	8.24		
-0.026344136	8.32		
-0.026343136	8.34		
-0.026342136	8.34		
-0.026341136	8.3		
-0.026340136	8.3		
-0.026339136	8.32		
-0.026338136	8.32		
-0.026337136	8.28		
